30.08,228.786
28.004,224.015
25.999,220.863
23.994,214.875
22.002,206.829
19.998,198.821
17.997,190.09
15.995,179.091
13.994,165.072
12.004,149.523
9.998,131.733
8.001,117.827
5.999,92.29
4.002,61.154
1.999,28.408
-0.003,0.134
-0.1,0.113
-0.204,0.104
-0.302,0.127
-0.402,0.125
-0.499,0.132
-0.6,0.133
-0.704,0.125
-0.797,0.108
-0.899,0.098
-0.997,0.092
-1.102,0.073
-1.199,0.097
-1.298,0.102
-1.399,0.11
-1.503,0.121
-1.602,0.089
-1.701,0.099
-1.799,0.097
-1.902,0.098
