Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #12
Wavelength (nm),Frequency (Hz),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V)
,,,,,,,,,,,,,,,,,,,,,,,,,,335.800,1.113E-11,12.006,-12.01,149.500,4.202E-11,11.967,-11.97,74.250,2.238E-10,16.204,-16.20,,,,,,,,,327.150,3.967E-14,-0.472,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,344.600,9.707E-12,9.992,-9.99,159.550,3.417E-11,10.002,-10.00,78.500,1.925E-10,14.074,-14.07,,,,,,,,,327.200,4.895E-14,-0.472,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,350.950,7.813E-12,7.756,-7.76,167.200,2.566E-11,7.998,-8.00,83.800,1.605E-10,12.046,-12.05,,,,,,,,,327.250,4.529E-14,-0.474,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,358.400,6.663E-12,6.764,-6.76,176.600,1.822E-11,6.013,-6.01,90.300,1.411E-10,10.086,-10.09,,,,,,,,,327.300,6.238E-14,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,365.350,6.163E-12,5.977,-5.98,184.600,8.258E-12,4.000,-4.00,93.550,1.094E-10,8.141,-8.14,,,,,,,,,327.350,8.069E-14,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,378.450,4.376E-12,4.010,-4.01,192.050,1.926E-12,1.988,-1.99,97.100,9.257E-11,6.209,-6.21,,,,,,,,,327.400,9.387E-14,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,388.500,1.723E-12,1.990,-1.99,198.050,2.180E-13,-0.002,0.00,101.450,8.675E-11,6.064,-6.06,,,,,,,,,327.450,1.107E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,397.650,3.955E-13,0.006,-0.01,202.250,1.271E-13,-0.125,0.12,104.200,4.656E-11,3.974,-3.97,,,,,,,,,327.500,1.084E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,465.450,1.617E-13,-0.103,0.10,204.850,7.446E-14,-0.205,0.21,106.100,3.742E-11,3.647,-3.65,,,,,,,,,327.550,1.346E-13,-0.472,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,470.900,1.429E-13,-0.202,0.20,207.450,4.431E-14,-0.305,0.31,108.700,3.167E-11,3.091,-3.09,,,,,,,,,327.600,1.288E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,476.450,1.405E-13,-0.311,0.31,209.650,3.381E-14,-0.402,0.40,110.250,2.213E-11,2.678,-2.68,,,,,,,,,327.650,1.362E-13,-0.472,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,483.100,1.104E-13,-0.406,0.41,211.700,6.238E-14,-0.508,0.51,112.150,1.623E-11,2.067,-2.07,,,,,,,,,327.700,1.415E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,490.150,8.643E-14,-0.506,0.51,213.100,2.283E-14,-0.619,0.62,114.250,7.991E-12,1.385,-1.38,,,,,,,,,327.750,1.377E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,494.250,3.894E-14,-0.626,0.63,215.500,1.257E-14,-0.709,0.71,116.750,5.213E-12,1.069,-1.07,,,,,,,,,327.800,1.390E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,498.150,4.260E-14,-0.696,0.70,218.300,9.766E-15,-0.806,0.81,119.300,3.110E-12,0.316,-0.32,,,,,,,,,327.850,1.512E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,503.700,3.186E-14,-0.803,0.80,219.650,3.784E-15,-0.947,0.95,122.700,2.842E-12,0.095,-0.09,,,,,,,,,327.900,1.560E-13,-0.472,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,507.500,3.015E-14,-0.905,0.91,223.300,6.714E-15,-1.007,1.01,125.250,5.469E-13,-0.450,0.45,,,,,,,,,327.950,1.471E-13,-0.474,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,511.350,1.904E-14,-1.004,1.00,226.100,1.074E-14,-1.119,1.12,126.250,5.651E-13,-0.485,0.49,,,,,,,,,328.000,1.715E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,514.050,2.515E-14,-1.104,1.10,227.450,-1.953E-15,-1.215,1.22,130.050,5.698E-13,-0.510,0.51,,,,,,,,,328.050,2.009E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,517.800,3.064E-14,-1.199,1.20,,,,,133.600,3.907E-13,-0.620,0.62,,,,,,,,,328.100,2.206E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,521.950,2.417E-14,-1.302,1.30,,,,,135.300,3.103E-13,-0.735,0.74,,,,,,,,,328.150,2.406E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,524.800,1.318E-14,-1.407,1.41,,,,,136.400,2.314E-13,-0.831,0.83,,,,,,,,,328.200,2.532E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,530.400,2.466E-14,-1.510,1.51,,,,,138.300,9.985E-14,-0.910,0.91,,,,,,,,,328.250,2.668E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,533.350,6.958E-15,-1.602,1.60,,,,,140.550,9.460E-14,-1.011,1.01,,,,,,,,,328.300,2.639E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,537.150,1.331E-14,-1.703,1.70,,,,,142.500,5.505E-14,-1.105,1.10,,,,,,,,,328.350,2.570E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,539.750,-1.282E-14,-1.803,1.80,,,,,145.950,4.565E-14,-1.206,1.21,,,,,,,,,328.400,2.460E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,543.700,-4.712E-14,-1.903,1.90,,,,,148.150,2.734E-14,-1.301,1.30,,,,,,,,,328.450,2.267E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.950,3.784E-14,-1.410,1.41,,,,,,,,,328.500,2.156E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.700,1.343E-14,-1.504,1.50,,,,,,,,,328.550,2.081E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.450,1.379E-14,-1.607,1.61,,,,,,,,,328.600,1.877E-13,-0.473,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.250,-1.282E-14,-1.714,1.71,,,,,,,,,328.650,1.847E-13,-0.470,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.400,-6.042E-14,-1.812,1.81,,,,,,,,,328.700,1.965E-13,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.750,2.092E-13,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.800,2.314E-13,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.850,2.555E-13,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.900,2.788E-13,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.950,2.972E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.000,2.686E-13,-0.467,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.050,2.690E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.100,2.570E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.150,2.144E-13,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.200,1.965E-13,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.250,1.897E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.300,1.835E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.350,1.914E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.400,2.190E-13,-0.464,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.450,2.227E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.500,2.417E-13,-0.464,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.550,2.498E-13,-0.464,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.600,2.628E-13,-0.464,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.650,2.472E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.700,2.217E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.750,2.029E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.800,1.843E-13,-0.464,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.850,1.675E-13,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.900,1.633E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.950,1.444E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.000,1.543E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.050,1.670E-13,-0.464,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.100,1.521E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.150,1.511E-13,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.200,1.587E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.250,1.699E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.300,1.616E-13,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.350,1.655E-13,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.400,1.750E-13,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.450,1.694E-13,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.500,1.755E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.550,1.718E-13,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.600,1.792E-13,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.650,1.748E-13,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.700,1.816E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.750,1.792E-13,-0.464,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.800,1.731E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.850,1.774E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.900,1.655E-13,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.950,1.641E-13,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.000,1.583E-13,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.050,1.610E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.100,1.547E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.150,1.575E-13,-0.464,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.200,1.342E-13,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.250,1.340E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.300,1.183E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.350,1.071E-13,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.400,9.119E-14,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.450,8.813E-14,-0.464,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.500,6.897E-14,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.550,6.323E-14,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.600,4.016E-14,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.650,3.284E-14,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.700,2.747E-14,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.750,9.766E-15,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.800,1.501E-14,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.850,1.880E-14,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.900,3.723E-14,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.950,4.309E-14,-0.466,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.000,6.824E-14,-0.465,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.050,8.081E-14,-0.464,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.100,7.678E-14,-0.465,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.150,7.104E-14,-0.465,0.47
