Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6
Wavelength (nm),Frequency (Hz),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V)
365,8.21E+14,350.800,-1.086E-14,-0.376,0.38,169.200,5.286E-14,-1.080,1.08,198.600,8.960E-14,-1.481,1.48,207.850,5.127E-15,-1.495,1.49,54.600,2.551E-14,-1.874,1.87,61.350,2.234E-14,-1.495,1.49
405,7.40E+14,429.100,-1.172E-14,0.927,-0.93,238.400,8.057E-15,-0.920,0.92,264.800,-1.245E-14,-1.269,1.27,288.650,3.564E-14,-1.188,1.19,110.000,-6.958E-14,-1.523,1.52,131.750,1.733E-14,-1.255,1.25
436,6.88E+14,,,,,323.250,-4.236E-14,-0.797,0.80,327.200,2.319E-15,-1.077,1.08,333.750,-1.355E-14,-1.036,1.04,180.750,-6.641E-14,-1.328,1.33,206.850,2.173E-14,-1.039,1.04
546,5.49E+14,,,,,461.950,2.429E-14,-0.170,0.17,412.750,-6.470E-15,-0.636,0.64,445.400,4.260E-14,-0.588,0.59,252.650,1.917E-14,-0.856,0.86,283.200,8.789E-15,-0.601,0.60
577,5.20E+14,,,,,482.250,9.644E-15,-0.109,0.11,482.050,2.393E-14,-0.535,0.54,473.100,2.295E-14,-0.569,0.57,313.250,-6.348E-15,-0.713,0.71,345.200,-3.174E-15,-0.467,0.47
