Run ,Current (A),Voltage (V),Electron Current (x10^-10 A)
306.7,-3.18E-12,78.8,0.03
307.8,-3.21E-12,79,0.03
308.7,-3.24E-12,79.1,0.03
309.8,-3.26E-12,79.2,0.03
310.6,-3.27E-12,79.3,0.03
311.5,-3.27E-12,79.4,0.03
312.4,-3.28E-12,79.6,0.03
313.2,-3.27E-12,79.8,0.03
314.1,-3.26E-12,79.9,0.03
315,-3.24E-12,80.1,0.03
316,-3.22E-12,80.2,0.03
317.4,-3.22E-12,80.3,0.03
318.4,-3.18E-12,80.5,0.03
319.3,-3.12E-12,80.7,0.03
