Run ,Current (A),Voltage (V),Electron Current (x10^-10 A)
227.4,-1.94E-12,66.5,0.02
228.6,-1.96E-12,66.9,0.02
229.6,-1.96E-12,67.1,0.02
230.9,-1.92E-12,67.7,0.02
232.2,-1.86E-12,68,0.02
233.4,-1.79E-12,68.5,0.02
234.5,-1.70E-12,68.9,0.02
235.6,-1.66E-12,69,0.02
236.6,-1.60E-12,69.3,0.02
237.9,-1.45E-12,69.8,0.01
239.2,-1.38E-12,69.9,0.01
240,-1.38E-12,69.9,0.01
241.1,-1.30E-12,70.2,0.01
242.8,-1.25E-12,70.2,0.01
244,-1.19E-12,70.7,0.01
245.3,-1.05E-12,71,0.01
246.2,-9.77E-13,71.2,0.01
247.1,-9.24E-13,71.4,0.01
248.2,-8.80E-13,71.6,0.01
249.4,-8.22E-13,71.7,0.01
251,-7.51E-13,72.1,0.01
252.1,-7.15E-13,72.3,0.01
252.9,-6.98E-13,72.5,0.01
254.9,-6.91E-13,73,0.01
255.6,-7.21E-13,73.2,0.01
256.6,-7.56E-13,73.5,0.01
257.6,-8.01E-13,73.7,0.01
258.5,-8.80E-13,74,0.01
259.7,-1.01E-12,74.4,0.01
260.7,-1.09E-12,74.6,0.01
261.7,-1.31E-12,75.2,0.01
262.7,-1.55E-12,75.6,0.02
263.6,-1.72E-12,76,0.02
264.5,-1.85E-12,76.2,0.02
265.5,-1.95E-12,76.5,0.02
266.3,-2.06E-12,76.7,0.02
267.3,-2.18E-12,77.2,0.02
268.1,-2.29E-12,77.6,0.02
269.3,-2.39E-12,78,0.02
270.5,-2.43E-12,78.4,0.02
271.3,-2.45E-12,78.8,0.02
272.1,-2.45E-12,79,0.02
273.3,-2.44E-12,79.2,0.02
274,-2.43E-12,79.4,0.02
275.1,-2.40E-12,79.8,0.02
276,-2.33E-12,80.2,0.02
276.8,-2.28E-12,80.4,0.02
278.1,-2.25E-12,80.5,0.02
279.6,-2.22E-12,80.7,0.02
280.5,-2.17E-12,80.8,0.02
281.5,-2.16E-12,80.8,0.02
