Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0.6,1.2,4.23,,0.00604,1.00E-06,1.636,0.002,0.0096119,8.00E-06,7,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,
,,,,,,,,,,,0.13,0.69,0,0,0.13,0.69,0,0,0.13,0.69,0,0,0.13,0.69,0,0,0.13,0.69,0,0,0.13,0.69,0,0,0.13,0.69,-0.02,0.86,0.13,0.69,0,0,0.13,0.69,0,0,0.13,0.68,0,-0.09,0.13,0.69,0,0
,,,,,,,,,,,0.14,0.69,0,0,0.14,0.69,0,0,0.14,0.69,0,0,0.14,0.69,0,0,0.14,0.69,0,0,0.14,0.69,0,0,0.14,0.69,0.02,1.21,0.14,0.69,0,0,0.14,0.69,0,0,0.14,0.68,0,0.43,0.14,0.69,0,0
,,,,,,,,,,,0.15,0.69,0,0,0.15,0.69,0,0,0.15,0.69,0,0,0.15,0.69,0,0,0.15,0.69,0,0,0.15,0.69,0,0,0.15,0.69,0,0.62,0.15,0.69,0,0,0.15,0.69,0,0,0.15,0.68,0.01,0.52,0.15,0.69,0,-0.09
,,,,,,,,,,,0.16,0.69,0,0,0.16,0.69,0,0,0.16,0.69,0,0,0.16,0.69,0,0,0.16,0.69,0,0,0.16,0.69,0,0,0.16,0.69,0.03,-6.53,0.16,0.69,0,0,0.16,0.69,0,0,0.16,0.68,0.01,-0.09,0.16,0.69,0,0.52
,,,,,,,,,,,0.17,0.69,0,0,0.17,0.69,0,0,0.17,0.69,0,0,0.17,0.69,0,0,0.17,0.69,0,0,0.17,0.69,0,0,0.17,0.7,-0.13,-19.3,0.17,0.69,0,0.09,0.17,0.69,0,0,0.17,0.68,0.01,0.52,0.17,0.69,0.01,0.17
,,,,,,,,,,,0.18,0.69,0,0,0.18,0.69,0,0,0.18,0.69,0,0,0.18,0.69,0,-0.09,0.18,0.69,0,0,0.18,0.69,0,0,0.18,0.69,-0.35,-3.2,0.18,0.69,0,-0.52,0.18,0.69,0,0,0.18,0.68,0.02,0.09,0.18,0.69,0,-1.03
,,,,,,,,,,,0.19,0.69,0,0,0.19,0.69,0,0,0.19,0.69,0,0,0.19,0.69,0,0.43,0.19,0.69,0,0,0.19,0.69,0,0,0.19,0.69,-0.19,7.92,0.19,0.69,-0.01,-0.09,0.19,0.69,0,0,0.19,0.68,0.01,-0.6,0.19,0.69,-0.01,-0.09
,,,,,,,,,,,0.2,0.69,0,0,0.2,0.69,0,0,0.2,0.69,0,0,0.2,0.69,0.01,0.6,0.2,0.69,0,0,0.2,0.69,0,0,0.2,0.69,-0.19,-5.35,0.2,0.69,0,0.6,0.2,0.69,0,0,0.2,0.68,0.01,0.43,0.2,0.69,0,0.52
,,,,,,,,,,,0.21,0.69,0,0,0.21,0.69,0,0,0.21,0.69,0,0,0.21,0.69,0.01,-0.43,0.21,0.69,0,0,0.21,0.69,0,0,0.21,0.68,-0.3,-9.66,0.21,0.69,0,-0.52,0.21,0.69,0,0,0.21,0.68,0.02,0.52,0.21,0.69,0,0
,,,,,,,,,,,0.22,0.69,0,0,0.22,0.69,0,0,0.22,0.69,0,0,0.22,0.69,0,-0.52,0.22,0.69,0,0,0.22,0.69,0,0,0.22,0.68,-0.39,-9.14,0.22,0.69,-0.01,-0.09,0.22,0.69,0,0,0.22,0.68,0.02,0,0.22,0.69,0,0
,,,,,,,,,,,0.23,0.69,0,0,0.23,0.69,0,0,0.23,0.69,0,0,0.23,0.69,0,0,0.23,0.69,0,0,0.23,0.69,0,0,0.23,0.68,-0.48,-6.47,0.23,0.69,0,0.52,0.23,0.69,0,0,0.23,0.68,0.02,-0.94,0.23,0.69,0,0
,,,,,,,,,,,0.24,0.69,0,0,0.24,0.69,0,0,0.24,0.69,0,0,0.24,0.69,0,0,0.24,0.69,0,0,0.24,0.69,0,0,0.24,0.67,-0.52,-3.8,0.24,0.69,0,0,0.24,0.69,0,0,0.24,0.68,0,4.47,0.24,0.69,0,0
