Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0.6,1.2,4.23,,0.00604,1.00E-06,1.636,0.002,0.0096119,8.00E-06,7,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,
,,,,,,,,,,,2.44,0.66,-0.12,1.46,2.44,0.69,0.02,1.04,2.44,0.69,0,0,2.44,0.34,-1.23,8.41,2.44,0.69,-0.01,0.43,2.44,0.45,1.23,-6.18,2.44,0.39,-0.49,6.6,2.44,0.5,-1.3,-12.96,2.44,0.35,1.22,14.43,2.44,0.56,-0.84,-6.98,2.44,0.62,-0.14,-12.21
,,,,,,,,,,,2.45,0.66,-0.11,0.27,2.45,0.69,0.01,-3.45,2.45,0.69,0,0,2.45,0.33,-1.15,16.26,2.45,0.69,0.01,0.6,2.45,0.46,1.25,3.54,2.45,0.39,-0.5,0.1,2.45,0.49,-1.33,3.23,2.45,0.37,1.39,7.38,2.45,0.55,-0.87,-3.47,2.45,0.62,-0.26,-11.28
,,,,,,,,,,,2.46,0.66,-0.12,1.13,2.46,0.69,-0.05,2.76,2.46,0.69,0,0,2.46,0.32,-0.91,24.17,2.46,0.69,0,-0.52,2.46,0.48,1.3,0.36,2.46,0.38,-0.49,12.53,2.46,0.47,-1.24,8.87,2.46,0.38,1.37,-4.8,2.46,0.54,-0.91,-3.27,2.46,0.62,-0.37,-10.86
,,,,,,,,,,,2.47,0.66,-0.09,2.32,2.47,0.69,0.06,-1.88,2.47,0.69,0,0,2.47,0.31,-0.67,20.1,2.47,0.69,0,0.09,2.47,0.49,1.25,-8.75,2.47,0.38,-0.25,8.45,2.47,0.46,-1.16,7.33,2.47,0.39,1.29,12.45,2.47,0.53,-0.94,-4.76,2.47,0.61,-0.47,-10.29
,,,,,,,,,,,2.48,0.66,-0.07,1.37,2.48,0.7,-0.09,-14.05,2.48,0.69,0,0,2.48,0.3,-0.51,17.55,2.48,0.69,0,-0.43,2.48,0.5,1.13,-14.48,2.48,0.38,-0.32,0.82,2.48,0.45,-1.09,7.64,2.48,0.41,1.61,13.97,2.48,0.52,-1,-4.9,2.48,0.61,-0.57,-9.76
,,,,,,,,,,,2.49,0.66,-0.06,0.86,2.49,0.69,-0.22,1.45,2.49,0.69,0,0,2.49,0.3,-0.32,19.54,2.49,0.69,-0.01,-0.86,2.49,0.51,0.96,-10.58,2.49,0.37,-0.24,10.65,2.49,0.44,-1,9.42,2.49,0.43,1.57,-2.71,2.49,0.51,-1.04,-3.29,2.49,0.6,-0.67,-17
,,,,,,,,,,,2.5,0.66,-0.05,0.78,2.5,0.69,-0.06,12.4,2.5,0.69,0,0,2.5,0.3,-0.12,17.72,2.5,0.69,-0.02,2.07,2.5,0.52,0.92,10.33,2.5,0.37,-0.11,2.89,2.5,0.43,-0.9,6.78,2.5,0.44,1.56,6.87,2.5,0.5,-1.07,-8.58,2.5,0.6,-0.91,-18.6
,,,,,,,,,,,2.51,0.66,-0.05,1.21,2.51,0.69,0.03,3.88,2.51,0.69,0,0,2.51,0.3,0.04,16.65,2.51,0.69,0.03,0.17,2.51,0.53,1.17,-3.13,2.51,0.37,-0.18,3.09,2.51,0.42,-0.87,3.62,2.51,0.46,1.71,0.56,2.51,0.49,-1.21,-7.14,2.51,0.59,-1.04,-1.27
,,,,,,,,,,,2.52,0.66,-0.03,1.8,2.52,0.69,0.02,-4.13,2.52,0.69,0,0,2.52,0.3,0.22,18.13,2.52,0.69,-0.01,0.27,2.52,0.54,0.85,-23.12,2.52,0.37,-0.04,15.9,2.52,0.41,-0.83,9.01,2.52,0.47,1.57,-9.45,2.52,0.47,-1.21,5.13,2.52,0.58,-0.94,3.5
,,,,,,,,,,,2.53,0.66,-0.01,1.29,2.53,0.69,-0.05,-3.01,2.53,0.69,0,0,2.53,0.3,0.4,16.75,2.53,0.69,0.04,-5.67,2.53,0.55,0.71,-10.3,2.53,0.37,0.14,11.88,2.53,0.41,-0.69,21.97,2.53,0.49,1.52,1.94,2.53,0.46,-1.11,6.06,2.53,0.57,-0.97,-13.47
,,,,,,,,,,,2.54,0.66,0,1.21,2.54,0.69,-0.04,-0.34,2.54,0.69,0,0,2.54,0.31,0.55,16.22,2.54,0.7,-0.13,-12.33,2.54,0.56,0.65,-10.28,2.54,0.37,0.19,9.3,2.54,0.4,-0.39,24.08,2.54,0.5,1.61,2.43,2.54,0.45,-1.09,3.03,2.54,0.56,-1.21,-5.71
,,,,,,,,,,,2.55,0.66,0.01,1.8,2.55,0.69,-0.06,-1.89,2.55,0.69,0,0,2.55,0.31,0.72,16.74,2.55,0.69,-0.21,0.43,2.55,0.56,0.5,-4.82,2.55,0.38,0.33,6.66,2.55,0.4,-0.21,9.24,2.55,0.52,1.57,-11.98,2.55,0.44,-1.05,-1,2.55,0.54,-1.08,13.11
,,,,,,,,,,,2.56,0.66,0.03,1.37,2.56,0.69,-0.08,3.87,2.56,0.69,0,0,2.56,0.32,0.89,15.48,2.56,0.69,-0.12,-4.9,2.56,0.57,0.55,-21.27,2.56,0.38,0.33,3.57,2.56,0.4,-0.2,-1.69,2.56,0.53,1.37,-18.67,2.56,0.43,-1.11,-0.78,2.56,0.53,-0.95,-6.51
,,,,,,,,,,,2.57,0.66,0.04,0.94,2.57,0.69,0.02,7.57,2.57,0.69,0,0,2.57,0.33,1.03,18.85,2.57,0.69,-0.31,-5.34,2.57,0.57,0.08,-29.62,2.57,0.38,0.4,11.94,2.57,0.39,-0.24,5.08,2.57,0.55,1.2,-13.6,2.57,0.42,-1.06,9.98,2.57,0.52,-1.21,-14.85
,,,,,,,,,,,2.58,0.66,0.05,0.43,2.58,0.69,0.07,1.29,2.58,0.69,0,0,2.58,0.34,1.26,19.07,2.58,0.69,-0.22,5.5,2.58,0.57,-0.04,-3.58,2.58,0.39,0.57,0.41,2.58,0.39,-0.1,18.83,2.58,0.56,1.1,-8.59,2.58,0.41,-0.91,13.63,2.58,0.51,-1.24,2.21
,,,,,,,,,,,2.59,0.66,0.05,0.27,2.59,0.69,0.04,-1.55,2.59,0.69,0,0,2.59,0.35,1.41,7.03,2.59,0.68,-0.2,-5.95,2.59,0.57,0,4.66,2.59,0.39,0.41,-5.58,2.59,0.39,0.14,16.21,2.59,0.57,1.03,-1.44,2.59,0.4,-0.79,16.58,2.59,0.5,-1.17,5.46
,,,,,,,,,,,2.6,0.66,0.06,1.37,2.6,0.69,0.04,0.61,2.6,0.69,0,0,2.6,0.37,1.4,-0.04,2.6,0.68,-0.34,-12.07,2.6,0.57,0.05,-1.3,2.6,0.4,0.45,11.14,2.6,0.39,0.22,8.46,2.6,0.58,1.07,-3.1,2.6,0.39,-0.58,12.18,2.6,0.49,-1.14,3.36
,,,,,,,,,,,2.61,0.66,0.08,1.02,2.61,0.69,0.06,-3.01,2.61,0.69,0,0,2.61,0.38,1.41,-0.7,2.61,0.68,-0.44,-9.58,2.61,0.57,-0.02,-17.96,2.61,0.4,0.63,11.83,2.61,0.4,0.31,13.47,2.61,0.59,0.96,-22.68,2.61,0.39,-0.55,-1.47,2.61,0.48,-1.1,4.22
,,,,,,,,,,,2.62,0.66,0.08,-0.08,2.62,0.69,-0.02,-4.05,2.62,0.69,0,0,2.62,0.4,1.39,9.1,2.62,0.67,-0.53,-8.91,2.62,0.57,-0.31,-29.36,2.62,0.41,0.69,4.91,2.62,0.4,0.49,16.45,2.62,0.6,0.62,-24.22,2.62,0.38,-0.61,-0.89,2.62,0.46,-1.05,5.1
,,,,,,,,,,,2.63,0.66,0.08,0.43,2.63,0.69,-0.03,0.85,2.63,0.69,0,0,2.63,0.41,1.6,17.31,2.63,0.67,-0.62,-9.7,2.63,0.57,-0.61,-22.75,2.63,0.42,0.73,7.12,2.63,0.41,0.63,11.1,2.63,0.6,0.48,-13.48,2.63,0.38,-0.56,12.32,2.63,0.45,-1,6.56
,,,,,,,,,,,2.64,0.66,0.09,0.43,2.64,0.69,-1.01E-04,9.47,2.64,0.69,0,0,2.64,0.43,1.74,3.51,2.64,0.66,-0.73,-11.25,2.64,0.56,-0.76,-3.84,2.64,0.42,0.83,5.72,2.64,0.41,0.71,6.62,2.64,0.61,0.35,-14.78,2.64,0.37,-0.36,14.84,2.64,0.44,-0.92,2.19
,,,,,,,,,,,2.65,0.66,0.08,0.43,2.65,0.69,0.16,6.89,2.65,0.69,0,0,2.65,0.45,1.67,-2.55,2.65,0.65,-0.84,-11.11,2.65,0.55,-0.69,10.79,2.65,0.43,0.84,-3.6,2.65,0.42,0.77,12.24,2.65,0.61,0.18,-16.4,2.65,0.37,-0.27,8.21,2.65,0.44,-0.96,0.73
,,,,,,,,,,,2.66,0.66,0.09,0.68,2.66,0.69,0.14,-9.55,2.66,0.69,0,0,2.66,0.46,1.68,5.36,2.66,0.64,-0.95,-11.98,2.66,0.54,-0.55,-5.83,2.66,0.44,0.76,-2.57,2.66,0.43,0.96,15.13,2.66,0.61,0.02,-16.06,2.66,0.37,-0.2,12.3,2.66,0.43,-0.9,13.62
,,,,,,,,,,,2.67,0.66,0.1,-0.86,2.67,0.69,-0.03,-5.08,2.67,0.69,0,0,2.67,0.48,1.77,1.53,2.67,0.63,-1.08,-12.95,2.67,0.54,-0.8,-26.09,2.67,0.45,0.79,1.62,2.67,0.44,1.07,2.26,2.67,0.61,-0.14,-15.22,2.67,0.37,-0.02,14.47,2.67,0.42,-0.68,16.21
,,,,,,,,,,,2.68,0.66,0.08,-1.19,2.68,0.69,0.04,3.1,2.68,0.69,0,0,2.68,0.5,1.72,-10.77,2.68,0.62,-1.21,-13.47,2.68,0.53,-1.07,-6.74,2.68,0.46,0.79,-1.11,2.68,0.45,1,0.3,2.68,0.61,-0.29,-14.23,2.68,0.37,0.09,11.37,2.68,0.41,-0.58,10.27
,,,,,,,,,,,2.69,0.66,0.07,0.94,2.69,0.69,0.03,-2.75,2.69,0.69,0,0,2.69,0.51,1.56,-10.59,2.69,0.61,-1.35,-13.64,2.69,0.52,-0.94,2.48,2.69,0.46,0.77,-2.74,2.69,0.46,1.08,4.74,2.69,0.61,-0.42,-14.1,2.69,0.37,0.21,14.2,2.69,0.41,-0.48,11.27
,,,,,,,,,,,2.7,0.67,0.1,0.85,2.7,0.69,-0.02,-2.41,2.7,0.69,0,0,2.7,0.53,1.5,-3.05,2.7,0.59,-1.48,-12.43,2.7,0.51,-1.02,-6.21,2.7,0.47,0.74,-1.58,2.7,0.47,1.1,7.82,2.7,0.6,-0.57,-15.64,2.7,0.37,0.37,9.47,2.7,0.4,-0.36,10.79
,,,,,,,,,,,2.71,0.67,0.09,-1.72,2.71,0.69,-0.01,2.07,2.71,0.69,0,0.09,2.71,0.54,1.5,-11.6,2.71,0.58,-1.6,-14.28,2.71,0.5,-1.06,-8.84,2.71,0.48,0.74,1.29,2.71,0.48,1.23,8.35,2.71,0.59,-0.73,-12.49,2.71,0.38,0.4,9.01,2.71,0.4,-0.26,10.62
,,,,,,,,,,,2.72,0.67,0.06,-2.05,2.72,0.69,0.02,0.26,2.72,0.69,0,-0.52,2.72,0.56,1.27,-12.3,2.72,0.56,-1.77,-11.7,2.72,0.49,-1.2,-8.81,2.72,0.49,0.76,-1.28,2.72,0.5,1.26,-3.42,2.72,0.59,-0.82,-8.11,2.72,0.38,0.55,10.04,2.72,0.4,-0.14,12.25
,,,,,,,,,,,2.73,0.67,0.05,-0.08,2.73,0.69,-0.01,-1.72,2.73,0.69,-0.01,-0.09,2.73,0.57,1.25,-1.26,2.73,0.54,-1.83,-12.43,2.73,0.48,-1.24,2.83,2.73,0.49,0.71,-8.07,2.73,0.51,1.16,-7.65,2.73,0.58,-0.9,-22.03,2.73,0.39,0.6,-1.18,2.73,0.4,-0.02,10.92
,,,,,,,,,,,2.74,0.67,0.06,0.6,2.74,0.69,-0.01,0.95,2.74,0.69,0,0.69,2.74,0.58,1.25,-14.94,2.74,0.53,-2.02,-15.57,2.74,0.46,-1.14,4.76,2.74,0.5,0.6,-8.93,2.74,0.52,1.11,-1.73,2.74,0.57,-1.26,-19.1,2.74,0.39,0.53,5.07,2.74,0.4,0.08,4.41
,,,,,,,,,,,2.75,0.67,0.06,-0.35,2.75,0.69,0.01,0.69,2.75,0.69,0,0.35,2.75,0.59,0.95,-21.76,2.75,0.5,-2.14,-2.98,2.75,0.45,-1.14,0.97,2.75,0.51,0.53,-5.99,2.75,0.53,1.13,1.91,2.75,0.55,-1.28,3.64,2.75,0.4,0.7,14.66,2.75,0.4,0.07,10.55
,,,,,,,,,,,2.76,0.67,0.05,-0.78,2.76,0.69,0,-1.03,2.76,0.69,0.01,-5.5,2.76,0.6,0.81,-15.81,2.76,0.48,-2.08,-4,2.76,0.44,-1.12,4.48,2.76,0.51,0.48,-5.61,2.76,0.54,1.15,1.05,2.76,0.54,-1.19,-3.5,2.76,0.4,0.82,9.33,2.76,0.4,0.29,21.64
,,,,,,,,,,,2.77,0.67,0.05,-1.21,2.77,0.69,-0.01,-0.17,2.77,0.69,-0.11,-15.76,2.77,0.61,0.64,-15.98,2.77,0.46,-2.22,-8.39,2.77,0.43,-1.05,-0.88,2.77,0.52,0.42,-7.79,2.77,0.55,1.15,-0.92,2.77,0.53,-1.35,-9.67,2.77,0.41,0.88,9.88,2.77,0.4,0.5,12.12
,,,,,,,,,,,2.78,0.67,0.03,-1.8,2.78,0.69,0,1.03,2.78,0.69,-0.31,-3.89,2.78,0.62,0.49,-14.76,2.78,0.44,-2.24,7.24,2.78,0.42,-1.14,-2.42,2.78,0.52,0.33,-14.84,2.78,0.56,1.13,-19.27,2.78,0.52,-1.38,-9.23,2.78,0.42,1.02,10.68,2.78,0.41,0.53,6.7
,,,,,,,,,,,2.79,0.67,0.01,-1.37,2.79,0.69,0.01,0.17,2.79,0.69,-0.18,-0.53,2.79,0.62,0.34,-16.22,2.79,0.42,-2.08,12.92,2.79,0.41,-1.1,16.37,2.79,0.52,0.12,-8,2.79,0.58,0.76,-16.38,2.79,0.5,-1.53,-9.92,2.79,0.43,1.1,-0.67,2.79,0.41,0.64,7.53
,,,,,,,,,,,2.8,0.67,0,-0.86,2.8,0.69,0,-1.03,2.8,0.69,-0.32,-21.81,2.8,0.62,0.17,-16.91,2.8,0.4,-1.99,11.64,2.8,0.4,-0.81,18.53,2.8,0.52,0.17,5.57,2.8,0.58,0.8,7.94,2.8,0.48,-1.58,3.15,2.8,0.44,1.01,-3.28,2.8,0.42,0.68,12.68
,,,,,,,,,,,2.81,0.67,-0.01,-0.86,2.81,0.69,-0.01,-0.09,2.81,0.68,-0.62,-16.74,2.81,0.62,0,-15.99,2.81,0.38,-1.85,4.88,2.81,0.39,-0.73,2.62,2.81,0.53,0.23,-6.13,2.81,0.59,0.92,-6.75,2.81,0.47,-1.47,6.14,2.81,0.45,1.03,3.22,2.81,0.43,0.89,15.72
,,,,,,,,,,,2.82,0.67,-0.02,-0.78,2.82,0.69,0,0.52,2.82,0.68,-0.65,-6.42,2.82,0.62,-0.15,-15.51,2.82,0.36,-1.89,-5.94,2.82,0.38,-0.76,2.3,2.82,0.53,0.04,-16.09,2.82,0.6,0.67,-17.35,2.82,0.45,-1.45,2.6,2.82,0.46,1.07,1.27,2.82,0.44,0.99,1.53
,,,,,,,,,,,2.83,0.67,-0.02,-1.29,2.83,0.69,0,0,2.83,0.67,-0.75,-9.52,2.83,0.62,-0.31,-15.53,2.83,0.34,-1.96,5.99,2.83,0.38,-0.68,5.11,2.83,0.53,-0.09,-8.64,2.83,0.6,0.58,-9.77,2.83,0.44,-1.42,-1.43,2.83,0.48,1.06,1.54,2.83,0.45,0.92,-1.52
,,,,,,,,,,,2.84,0.67,-0.04,-1.46,2.84,0.69,0,0,2.84,0.66,-0.84,-9.61,2.84,0.62,-0.46,-15.7,2.84,0.32,-1.77,22.2,2.84,0.37,-0.66,5.37,2.84,0.52,-0.13,-4.71,2.84,0.61,0.47,-10.2,2.84,0.43,-1.48,-2.04,2.84,0.49,1.1,0.62,2.84,0.46,0.96,4.38
,,,,,,,,,,,2.85,0.67,-0.05,-0.6,2.85,0.69,0,0,2.85,0.65,-0.94,-9.27,2.85,0.61,-0.62,-13.66,2.85,0.3,-1.52,23.43,2.85,0.36,-0.58,12.29,2.85,0.52,-0.18,-8.31,2.85,0.61,0.37,-10.64,2.85,0.41,-1.46,17.55,2.85,0.5,1.07,-7.82,2.85,0.47,1.01,3.47
,,,,,,,,,,,2.86,0.67,-0.05,0.43,2.86,0.69,0,0,2.86,0.64,-1.03,-8.48,2.86,0.6,-0.74,-22.07,2.86,0.29,-1.3,13.15,2.86,0.36,-0.41,14.94,2.86,0.52,-0.29,-7.65,2.86,0.62,0.26,-11.16,2.86,0.4,-1.13,17.05,2.86,0.51,0.95,-7.19,2.86,0.48,1.03,3.05
,,,,,,,,,,,2.87,0.67,-0.04,0.51,2.87,0.69,0,0,2.87,0.63,-1.11,-7.26,2.87,0.6,-1.06,-15.54,2.87,0.28,-1.26,11.94,2.87,0.35,-0.28,12.07,2.87,0.52,-0.34,-4.92,2.87,0.62,0.15,-11.01,2.87,0.39,-1.12,-1.68,2.87,0.52,0.93,-3.94,2.87,0.49,1.07,3.19
,,,,,,,,,,,2.88,0.67,-0.04,2.78E-13,2.88,0.69,0,0,2.88,0.62,-1.17,-4.17,2.88,0.58,-1.05,3.57,2.88,0.27,-1.06,20.65,2.88,0.35,-0.17,12.01,2.88,0.51,-0.39,-6.33,2.88,0.62,0.04,-12.19,2.88,0.38,-1.17,6.08,2.88,0.53,0.87,-7.01,2.88,0.5,1.1,-2.37
,,,,,,,,,,,2.89,0.67,-0.04,0.08,2.89,0.69,0,0,2.89,0.61,-1.19,-11.33,2.89,0.58,-0.99,-8.1,2.89,0.26,-0.84,20.9,2.89,0.35,-0.04,12.52,2.89,0.51,-0.46,-10.98,2.89,0.62,-0.09,-11.42,2.89,0.36,-1,14.8,2.89,0.53,0.79,-1.58,2.89,0.51,1.02,2.14
,,,,,,,,,,,2.9,0.67,-0.04,-0.43,2.9,0.69,0,-0.09,2.9,0.6,-1.4,-13.71,2.9,0.56,-1.21,-18.94,2.9,0.25,-0.64,52.45,2.9,0.35,0.08,12.12,2.9,0.51,-0.61,-10.82,2.9,0.62,-0.19,-9.83,2.9,0.36,-0.87,14.33,2.9,0.54,0.84,-8.03,2.9,0.52,1.14,7.8
,,,,,,,,,,,2.91,0.67,-0.05,-0.6,2.91,0.69,0,0.43,2.91,0.58,-1.47,5.53,2.91,0.55,-1.37,-15.51,2.91,0.24,0.2,45.76,2.91,0.35,0.2,11.25,2.91,0.5,-0.68,-0.57,2.91,0.62,-0.29,-10.43,2.91,0.35,-0.71,14.02,2.91,0.55,0.63,-12.65,2.91,0.53,1.18,-9.01
,,,,,,,,,,,2.92,0.67,-0.05,0.35,2.92,0.69,0.01,0.69,2.92,0.57,-1.29,10.41,2.92,0.54,-1.52,-4.25,2.92,0.25,0.27,-22.33,2.92,0.36,0.31,9.75,2.92,0.49,-0.62,0.93,2.92,0.61,-0.4,-9.93,2.92,0.34,-0.59,11.85,2.92,0.55,0.58,-7.14,2.92,0.54,0.96,-10.36
,,,,,,,,,,,2.93,0.67,-0.04,0.86,2.93,0.69,0.01,-0.86,2.93,0.55,-1.26,1.45,2.93,0.52,-1.46,2.02,2.93,0.25,-0.24,0.13,2.93,0.36,0.4,15.52,2.93,0.49,-0.66,-3.21,2.93,0.61,-0.49,-10.01,2.93,0.34,-0.47,14.42,2.93,0.56,0.48,-12.21,2.93,0.55,0.97,0.28
,,,,,,,,,,,2.94,0.67,-0.04,0.86,2.94,0.69,-0.01,-1.12,2.94,0.54,-1.26,0.11,2.94,0.51,-1.48,-3.48,2.94,0.25,0.28,38.23,2.94,0.36,0.62,15.75,2.94,0.48,-0.69,-1.79,2.94,0.6,-0.6,-8.63,2.94,0.33,-0.3,17.44,2.94,0.56,0.34,-3.98,2.94,0.56,0.96,-0.91
,,,,,,,,,,,2.95,0.67,-0.03,0.94,2.95,0.69,-0.01,0.34,2.95,0.53,-1.26,2.15,2.95,0.49,-1.53,-3.26,2.95,0.26,0.52,11.97,2.95,0.37,0.71,3.5,2.95,0.47,-0.7,-1.3,2.95,0.6,-0.66,-15.56,2.95,0.33,-0.12,15.23,2.95,0.57,0.4,-7.81,2.95,0.57,0.95,-5.02
,,,,,,,,,,,2.96,0.66,-0.02,0.43,2.96,0.69,0,0.95,2.96,0.52,-1.22,6.07,2.96,0.48,-1.54,-5.6,2.96,0.26,0.51,17.33,2.96,0.38,0.69,2.88,2.96,0.46,-0.71,-1.47,2.96,0.59,-0.91,-12.45,2.96,0.33,0,13.24,2.96,0.57,0.18,-17.45,2.96,0.58,0.86,-14.69
,,,,,,,,,,,2.97,0.66,-0.02,0.26,2.97,0.69,0.01,0.69,2.97,0.5,-1.14,2.64,2.97,0.46,-1.64,-3.58,2.97,0.27,0.87,27.14,2.97,0.39,0.77,-0.03,2.97,0.46,-0.73,-0.11,2.97,0.58,-0.91,9.81,2.97,0.33,0.14,14.13,2.97,0.57,0.05,-8.59,2.97,0.59,0.66,-14.56
,,,,,,,,,,,2.98,0.66,-0.01,1.37,2.98,0.69,0.01,-0.86,2.98,0.49,-1.17,1.16,2.98,0.44,-1.62,8.31,2.98,0.28,1.06,17.88,2.98,0.39,0.69,-1.5,2.98,0.45,-0.72,1.41,2.98,0.57,-0.71,-2.66,2.98,0.33,0.29,14.62,2.98,0.57,0.01,-14.13,2.98,0.59,0.57,-8.48
,,,,,,,,,,,2.99,0.66,0.01,1.03,2.99,0.69,-0.01,-1.21,2.99,0.48,-1.11,12.69,2.99,0.43,-1.47,11.98,2.99,0.29,1.23,17.83,2.99,0.4,0.74,12.94,2.99,0.44,-0.7,-3.55,2.99,0.56,-0.96,-19.76,2.99,0.34,0.43,14.22,2.99,0.57,-0.23,-19.8,2.99,0.6,0.49,-8.92
,,,,,,,,,,,3,0.66,0.01,-0.08,3,0.69,-0.01,0.95,3,0.47,-0.91,15.7,3,0.41,-1.38,10.05,3,0.3,1.41,18.71,3,0.41,0.95,12.34,3,0.44,-0.79,-3.73,3,0.55,-1.11,-2.95,3,0.34,0.57,13.44,3,0.57,-0.38,-6.16,3,0.6,0.39,-9.28
,,,,,,,,,,,3.01,0.66,0.01,0.35,3.01,0.69,0.01,0.69,3.01,0.46,-0.8,11.14,3.01,0.4,-1.27,9.76,3.01,0.32,1.6,13.7,3.01,0.42,0.99,8.76,3.01,0.43,-0.77,6.32,3.01,0.54,-1.02,3.22,3.01,0.35,0.7,11.67,3.01,0.57,-0.35,5.77,3.01,0.61,0.3,-10.07
,,,,,,,,,,,3.02,0.66,0.02,0.86,3.02,0.69,0,-1.03,3.02,0.46,-0.69,11.99,3.02,0.39,-1.18,7.69,3.02,0.33,1.69,12.21,3.02,0.43,1.12,8.07,3.02,0.42,-0.66,8,3.02,0.53,-1.04,-1.5,3.02,0.35,0.8,9.74,3.02,0.56,-0.27,-5.8,3.02,0.61,0.19,-11.75
,,,,,,,,,,,3.03,0.67,0.02,0.94,3.03,0.69,-0.01,-0.26,3.03,0.45,-0.56,12.91,3.03,0.38,-1.12,9.33,3.03,0.35,1.84,10.65,3.03,0.44,1.15,-2.9,3.03,0.41,-0.61,6.1,3.03,0.52,-1.05,0.06,3.03,0.36,0.9,15.86,3.03,0.56,-0.47,-21.73,3.03,0.61,0.07,-10.97
,,,,,,,,,,,3.04,0.67,0.03,0.43,3.04,0.69,0,1.38,3.04,0.44,-0.43,13.38,3.04,0.37,-0.99,6.97,3.04,0.37,1.9,-7.26,3.04,0.45,1.06,-4.22,3.04,0.41,-0.54,5.67,3.04,0.51,-1.04,0,3.04,0.37,1.12,8.26,3.04,0.55,-0.7,-9.4,3.04,0.61,-0.03,-9.46
,,,,,,,,,,,3.05,0.67,0.03,0.35,3.05,0.69,0.02,1.29,3.05,0.44,-0.29,13.47,3.05,0.36,-0.98,5.72,3.05,0.39,1.7,-10.34,3.05,0.46,1.07,-0.68,3.05,0.4,-0.5,5.03,3.05,0.5,-1.05,-4.06,3.05,0.39,1.06,-8.01,3.05,0.55,-0.66,-0.12,3.05,0.61,-0.12,-9.4
,,,,,,,,,,,3.06,0.67,0.04,0.94,3.06,0.69,0.02,-1.2,3.06,0.44,-0.16,12.38,3.06,0.35,-0.88,18.67,3.06,0.4,1.69,15.31,3.06,0.47,1.05,-2.56,3.06,0.4,-0.44,6.47,3.06,0.49,-1.12,-0.34,3.06,0.39,0.96,6.08,3.06,0.54,-0.71,-5.62,3.06,0.61,-0.21,-9.83
,,,,,,,,,,,3.07,0.67,0.05,0.6,3.07,0.69,-0.01,-1.98,3.07,0.44,-0.04,13.17,3.07,0.34,-0.6,23.11,3.07,0.42,2.01,18.26,3.07,0.48,1.01,1.19,3.07,0.39,-0.37,6.52,3.07,0.48,-1.06,9.58,3.07,0.4,1.18,18.39,3.07,0.53,-0.77,-5.82,3.07,0.61,-0.32,-10.5
,,,,,,,,,,,3.08,0.67,0.05,-0.43,3.08,0.69,-0.02,-0.52,3.08,0.44,0.1,14.77,3.08,0.33,-0.42,16.18,3.08,0.44,2.06,-4.62,3.08,0.49,1.07,-0.1,3.08,0.39,-0.31,5.99,3.08,0.47,-0.93,9.52,3.08,0.42,1.33,10.75,3.08,0.52,-0.82,-4.53,3.08,0.6,-0.42,-9.79
,,,,,,,,,,,3.09,0.67,0.04,-0.68,3.09,0.69,-0.02,-0.09,3.09,0.44,0.25,13.52,3.09,0.33,-0.28,13.71,3.09,0.46,1.91,-5.66,3.09,0.5,1.01,-9.46,3.09,0.39,-0.25,6.46,3.09,0.46,-0.87,5.95,3.09,0.43,1.4,2.72,3.09,0.52,-0.86,-3.1,3.09,0.6,-0.51,-7.85
,,,,,,,,,,,3.1,0.67,0.04,0.69,3.1,0.69,-0.02,0.34,3.1,0.44,0.37,11.57,3.1,0.33,-0.14,14.51,3.1,0.48,1.95,-2.71,3.1,0.51,0.88,-9.01,3.1,0.39,-0.18,6.41,3.1,0.45,-0.81,7.47,3.1,0.45,1.38,-2.44,3.1,0.51,-0.88,-2.05,3.1,0.59,-0.58,-5.97
